resume_text,role
"Experienced Python developer with a strong background in Django, Flask, and RESTful APIs. Adept at building scalable web applications and microservices. Skilled in Docker, PostgreSQL, and AWS.",Python Developer
"Data Scientist proficient in machine learning, statistical modeling, and data visualization. Expertise in Python, R, scikit-learn, TensorFlow, and SQL. Track record of developing predictive models that improve business outcomes.",Data Scientist
"Machine Learning Engineer with experience in deep learning, NLP, and computer vision. Strong programming skills in Python and C++. Familiar with PyTorch, Keras, and model deployment on AWS/GCP.",ML Engineer
"Web Developer specializing in front-end and back-end technologies. Proficient in HTML, CSS, JavaScript, React, Node.js, and Express. Passionate about creating responsive and user-friendly web interfaces.",Web Developer
"UI/UX Designer with a keen eye for aesthetics and usability. Experienced in user research, wireframing, and prototyping using Figma, Adobe XD, and Sketch. Dedicated to delivering intuitive user experiences.",UI/UX Designer
"Civil Engineer with 5 years of experience in structural design and construction management. Proficient in AutoCAD, Civil 3D, and SAP2000. Experienced with concrete and steel structures, project estimation.",Civil Engineer
"Senior Civil Engineer specializing in transport infrastructure and bridge design. Strong background in STAAD Pro, ETABS, and environmental compliance.",Civil Engineer
"Marketing Specialist with a focus on digital campaigns, SEO/SEM, and social media analytics. Experienced with Google Analytics, HubSpot, and content strategy driving 40% growth in inbound traffic.",Marketing Specialist
"Financial Analyst skilled in corporate finance, risk assessment, and financial modeling. Expert in Excel, SQL for financial data extraction, and Bloomberg terminal.",Financial Analyst
"DevOps Engineer. Mastered CI/CD pipelines with Jenkins and GitLab. Deep knowledge of Kubernetes, Docker, AWS infrastructure, Terraform, and Ansible.",DevOps Engineer
"Product Manager leading agile teams to deliver B2B SaaS products. Experienced in Jira, roadmap planning, A/B testing, and cross-functional team leadership.",Product Manager
"Human Resources Manager with expertise in talent acquisition, employee relations, and compliance. Skilled with Workday and HRIS implementations.",HR Manager
"Mechanical Engineer responsible for HVAC system design. Proficient in SolidWorks, AutoCAD Mechanical, and thermodynamics simulations.",Mechanical Engineer
"Software Backend Engineer. Writes high-performance go and rust code. Architected distributed systems. Familiar with gRPC, Kafka, Cassandra, and AWS.",Backend Developer
"Cloud Architect designing massive scalable systems inside AWS and Azure environments. Certifications in Solutions Architecture.",Cloud Architect
"Network Engineer dealing with Cisco routers, firewalls, BGP, OSPF, and WAN optimization. Certified CCNA/CCNP.",Network Engineer
"Cybersecurity Analyst specialized in penetration testing, threat hunting, and SOC operations. Proficient with Wireshark, Metasploit, SIEM tools.",Cybersecurity Analyst
"Android Developer building native apps with Kotlin and Java. Experience with Jetpack Compose, Room database, Coroutines.",Mobile Developer
"iOS Developer skilled in Swift, Objective-C, and Apple UI guidelines. Built 10+ apps available on the App Store.",Mobile Developer
"Python Backend Engineer specializing in scalable APIs, asynchronous programming, Fastapi, Flask, Celery, and Redis.",Python Developer
"Data Analyst transitioning to Data Science. Strong skills in data manipulation with Pandas, NumPy, and visualizing data with Matplotlib, Seaborn, Tableau. Basic knowledge of scikit-learn algorithms.",Data Scientist
"AI Engineer focused on deployng LLMs and generative AI. Experience with LangChain, vector databases like Pinecone, and fine-tuning HuggingFace models. Proficient in Python and Pytorch.",ML Engineer
"Full Stack Web Developer with 5 years experience in building dynamic sites. MERN stack expert: MongoDB, Express, React, Node. Solid understanding of CSS frameworks like Tailwind and Bootstrap.",Web Developer
"Product Designer with UX/UI expertise. Portfolio showcases mobile apps and web designs. Skilled in creating design systems, user flows, and interactive prototypes.",UI/UX Designer
"Structural Engineer expert in high-rise building load analysis. Uses ETABS and SAFE. Manages rebar detailing and structural drafting.",Civil Engineer
"Digital Marketing Manager executing million-dollar ad spends on Meta and Google Ads. Proficient in copywriting and conversion rate optimization (CRO).",Marketing Specialist
"Investment Banker analyzing M&A deals. Expert financial modeler. Very strong accounting fundamentals and valuation methodologies.",Financial Analyst
"Site Reliability Engineer focusing on uptime. Expert in Prometheus, Grafana monitoring, Linux system internals, and bash scripting.",DevOps Engineer
"Scrum Master operating in SAFe framework. Excellent facilitator. Uses Confluence and Jira.",Product Manager
"Talent Acquisition Specialist sourcing engineering talent. Uses LinkedIn Recruiter, boolean searches, and Greenhouse ATS.",HR Manager
"Automotive Mechanical Engineer focused on powertrain design. Uses CATIA and MATLAB/Simulink for simulations.",Mechanical Engineer
"Platform Engineer building internal developer tools. Uses Golang, Kubernetes, and Helm.",Backend Developer
"AWS Cloud Engineer writing infrastructure as code. Terraform, CloudFormation, IAM restrictions.",Cloud Architect
"Information Security Engineer focused on application security, SAST/DAST, and OWASP top 10 remediation.",Cybersecurity Analyst
